epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,220.998,0.78575,0.7597,1.12006,0.85253,0.7556,0.81006,0.66935,0.88221,0.7715,1.35453,0.000390021,0.000390021,0.000390021
43,225.818,0.8201,0.79263,1.10185,0.86956,0.7921,0.78161,0.6388,0.86765,0.78274,1.34071,0.000380021,0.000380021,0.000380021
44,231.209,0.80407,0.77021,1.1087,0.88318,0.82453,0.81212,0.67059,0.91815,0.72453,1.35586,0.000370022,0.000370022,0.000370022
45,236.144,0.81287,0.75315,1.1644,0.92208,0.73925,0.8278,0.67695,0.89954,0.73633,1.34157,0.000360022,0.000360022,0.000360022
46,241.013,0.87377,0.80565,1.14526,0.93606,0.68171,0.83836,0.69269,0.90506,0.76917,1.33032,0.000350023,0.000350023,0.000350023
47,246.4,0.81408,0.77972,1.1235,0.88963,0.69823,0.83541,0.71011,0.89025,0.73291,1.30849,0.000340023,0.000340023,0.000340023
48,257.409,0.80724,0.78774,1.12367,0.90593,0.67949,0.84129,0.70671,0.88344,0.68039,1.30579,0.000330023,0.000330023,0.000330023
49,262.372,0.83948,0.81934,1.11844,0.77901,0.79487,0.84003,0.69899,0.89732,0.69213,1.32046,0.000320024,0.000320024,0.000320024
50,267.419,0.80287,0.75775,1.1308,0.93445,0.69013,0.81797,0.69044,0.94471,0.7192,1.36319,0.000310025,0.000310025,0.000310025
51,272.828,0.80736,0.83443,1.0992,0.93569,0.69916,0.83527,0.68062,0.96127,0.71667,1.37769,0.000300025,0.000300025,0.000300025
52,277.805,0.80689,0.73137,1.12604,0.93348,0.67949,0.81901,0.69368,0.90856,0.72496,1.33714,0.000290026,0.000290026,0.000290026
53,283.196,0.78651,0.74707,1.095,0.91981,0.67949,0.8108,0.68954,0.87788,0.74456,1.31538,0.000280026,0.000280026,0.000280026
54,288.138,0.75547,0.71056,1.13582,0.91023,0.64615,0.8158,0.68912,0.87731,0.75641,1.30263,0.000270027,0.000270027,0.000270027
55,293.18,0.78943,0.72255,1.13515,0.96405,0.66758,0.8099,0.69232,0.92938,0.78051,1.30639,0.000260027,0.000260027,0.000260027
56,298.74,0.76494,0.76227,1.12002,0.91597,0.68541,0.81646,0.70433,0.86494,0.79373,1.28946,0.000250028,0.000250028,0.000250028
57,303.648,0.68731,0.67694,1.05081,0.9035,0.68512,0.82545,0.71089,0.82092,0.79132,1.27024,0.000240028,0.000240028,0.000240028
58,308.936,0.76171,0.66871,1.13998,0.92604,0.68087,0.83401,0.71854,0.80458,0.76483,1.25167,0.000230028,0.000230028,0.000230028
59,314.428,0.67746,0.5865,1.04521,0.98052,0.67536,0.81666,0.70878,0.78804,0.75327,1.23141,0.000220029,0.000220029,0.000220029
60,319.467,0.70299,0.68124,1.08142,0.89481,0.68673,0.81042,0.70829,0.79427,0.72886,1.22936,0.000210029,0.000210029,0.000210029
61,324.742,0.63619,0.60038,1.04884,0.88157,0.71744,0.82004,0.71269,0.78173,0.70832,1.21361,0.00020003,0.00020003,0.00020003
62,329.909,0.6618,0.59826,1.05549,0.88206,0.71025,0.81837,0.69925,0.81207,0.73698,1.22202,0.000190031,0.000190031,0.000190031
63,335.161,0.68242,0.61333,1.06441,0.87055,0.71305,0.81934,0.68415,0.83974,0.73015,1.22626,0.000180031,0.000180031,0.000180031
64,340.042,0.6572,0.64462,1.03046,0.87474,0.71432,0.83425,0.6898,0.78033,0.72434,1.20299,0.000170032,0.000170032,0.000170032
65,348.043,0.70843,0.63679,1.12464,0.87067,0.72128,0.83931,0.68276,0.78686,0.7291,1.20846,0.000160032,0.000160032,0.000160032
66,352.941,0.69797,0.57957,1.13835,0.93062,0.69514,0.8405,0.68141,0.81552,0.73018,1.22928,0.000150033,0.000150033,0.000150033
67,358.449,0.62967,0.56214,1.03316,0.9229,0.72686,0.83908,0.69659,0.85995,0.7477,1.26097,0.000140033,0.000140033,0.000140033
68,363.618,0.63963,0.5446,1.03675,0.92776,0.74285,0.81722,0.68734,0.85399,0.75892,1.2645,0.000130033,0.000130033,0.000130033
69,368.503,0.66613,0.59354,1.0521,0.94414,0.75165,0.81711,0.68306,0.85963,0.76424,1.26912,0.000120034,0.000120034,0.000120034
70,373.866,0.68281,0.67503,1.0515,0.95651,0.78723,0.84146,0.69436,0.85701,0.74086,1.25944,0.000110034,0.000110034,0.000110034
71,379.87,0.56033,0.52367,1.02534,0.95429,0.78607,0.83556,0.6887,0.85742,0.76454,1.24945,0.000100035,0.000100035,0.000100035
72,385.279,0.57135,0.555,1.05901,0.9196,0.72889,0.79991,0.67855,0.81953,0.785,1.22299,9.00355e-05,9.00355e-05,9.00355e-05
73,390.283,0.55919,0.48526,1.02189,0.91835,0.7262,0.80102,0.6844,0.81981,0.7747,1.22397,8.0036e-05,8.0036e-05,8.0036e-05
74,395.227,0.54365,0.48148,0.97387,0.88802,0.68888,0.80188,0.69359,0.78989,0.77873,1.22926,7.00365e-05,7.00365e-05,7.00365e-05
75,400.627,0.55439,0.48835,0.98407,0.91135,0.6672,0.80399,0.69389,0.80328,0.77853,1.24415,6.0037e-05,6.0037e-05,6.0037e-05
76,405.499,0.55723,0.48336,0.98341,0.9016,0.66699,0.82082,0.7045,0.83067,0.74974,1.27059,5.00375e-05,5.00375e-05,5.00375e-05
77,411.131,0.53502,0.47087,1.0003,0.88336,0.68123,0.81918,0.69856,0.85526,0.71199,1.29745,4.0038e-05,4.0038e-05,4.0038e-05
78,416.081,0.52323,0.47209,0.98363,0.88691,0.68628,0.82386,0.708,0.85984,0.70685,1.2979,3.00385e-05,3.00385e-05,3.00385e-05
79,420.937,0.55476,0.44227,0.97967,0.88916,0.68797,0.82512,0.71027,0.86399,0.70761,1.30097,2.0039e-05,2.0039e-05,2.0039e-05
80,426.228,0.50505,0.43734,0.95009,0.88966,0.68816,0.82505,0.70977,0.86504,0.70431,1.29906,1.00395e-05,1.00395e-05,1.00395e-05
